original_path,original_size_bytes,avif_size_bytes,avif_compression_ratio
oc-content/uploads/15970/15970_original.png,468402,27621,16.96
oc-content/uploads/15970/15970_preview.png,309944,19640,15.78
oc-content/uploads/15970/15970.png,530635,27839,19.06
oc-content/uploads/15970/15970_thumbnail.png,102969,8820,11.67
oc-content/uploads/39386/39386_preview.png,145875,5273,27.66
oc-content/uploads/39386/39386.png,241723,7651,31.59
oc-content/uploads/39386/39386_thumbnail.png,53935,2647,20.38
oc-content/uploads/39386/39386_original.png,194091,7766,24.99
oc-content/uploads/68524/68524_original.png,114304,6321,18.08
oc-content/uploads/68524/68524_preview.png,129613,5919,21.9
oc-content/uploads/68524/68524_thumbnail.png,49331,3202,15.41
oc-content/uploads/68524/68524.png,204557,8248,24.8
oc-content/uploads/38254/38254_thumbnail.png,66379,2965,22.39
oc-content/uploads/38254/38254_original.png,196812,6847,28.74
oc-content/uploads/38254/38254.png,289744,8156,35.53
oc-content/uploads/38254/38254_preview.png,179352,5864,30.59
oc-content/uploads/1069/1069.png,407456,20880,19.51
oc-content/uploads/1069/1069_original.png,340777,20580,16.56
oc-content/uploads/1069/1069_preview.png,238489,13109,18.19
oc-content/uploads/1069/1069_thumbnail.png,80695,5187,15.56
oc-content/uploads/59263/59263_original.png,272789,18344,14.87
oc-content/uploads/59263/59263_preview.png,289834,17170,16.88
oc-content/uploads/59263/59263_thumbnail.png,99623,7674,12.98
oc-content/uploads/59263/59263.png,488006,24025,20.31
oc-content/uploads/75895/75895.png,355223,13587,26.14
oc-content/uploads/75895/75895_original.png,206192,10214,20.19
oc-content/uploads/75895/75895_preview.png,216282,9573,22.59
oc-content/uploads/75895/75895_thumbnail.png,78341,4498,17.42
oc-content/uploads/21379/21379.png,655192,52775,12.41
oc-content/uploads/21379/21379_preview.png,377968,36036,10.49
oc-content/uploads/21379/21379_original.png,564810,48803,11.57
oc-content/uploads/21379/21379_thumbnail.png,117781,12592,9.35
oc-content/uploads/71409/71409_thumbnail.png,44709,3468,12.89
oc-content/uploads/71409/71409.png,226928,14675,15.46
oc-content/uploads/71409/71409_preview.png,135600,10034,13.51
oc-content/uploads/71409/71409_original.png,148803,12290,12.11
oc-content/uploads/62822/62822_original.png,194659,8959,21.73
oc-content/uploads/62822/62822_preview.png,143510,5487,26.15
oc-content/uploads/62822/62822.png,239450,8794,27.23
oc-content/uploads/62822/62822_thumbnail.png,52304,2548,20.53
oc-content/uploads/83510/83510_thumbnail.png,70657,4213,16.77
oc-content/uploads/83510/83510.png,315002,11940,26.38
oc-content/uploads/83510/83510_original.png,179647,8904,20.18
oc-content/uploads/83510/83510_preview.png,192281,8473,22.69
oc-content/uploads/53759/53759.png,487055,24832,19.61
oc-content/uploads/53759/53759_preview.png,294909,17907,16.47
